"","theta"
"Kst",0
"Kint",0
"KurineC",-0.247845285419466
"KmC",-0.0117841561013942
"Ka",0
"QCC",-0.730447107202713
"QLC",0
"QKC",0
"QFC",0
"QMC",0
"BW",-1.0017661968052
"VLC",0
"VKC",0
"VFC",0
"VMC",0
"VbloodC",0
"Htc",-3.16437631705954e-07
"PL",0.988093449389008
"PK",-2.35187687995986e-07
"PM",-6.96890137702199e-06
"PF",-5.79125769248249e-07
"PRest",-0.000222403496516305
"Free",0
