{what is this}
Time	        Concentration
0.067381322	9.779871649
0.234305063	6.035706831
0.483664256	4.617195079
0.981819119	3.470690704
1.479571464	3.119774859
1.99809368	2.754713963
2.537546772	2.224374056
3.03533937	1.964030361
4.072222795	1.644835881
6.021853445	1.036077505
9.090561463	0.754211568
12.0988517	0.249924608
23.96070147	0.034298615
