"","theta"
"Kst",0
"Kint",0
"KurineC",-0.988238856782392
"KmC",-0.0073524214258863
"Ka",0
"QCC",0.00561446796186198
"QLC",0
"QKC",0
"QFC",0
"QMC",0
"BW",-0.997378330075804
"VLC",0
"VKC",0
"VFC",0
"VMC",0
"VbloodC",0
"Htc",-3.11435289424133e-07
"PL",-0.00735648545130407
"PK",0.999999732191197
"PM",-6.85921931178896e-06
"PF",-5.70499200369525e-07
"PRest",-0.000219348828179677
"Free",0
