"","theta"
"Kst",0
"Kint",0
"KurineC",-0.247845250557334
"KmC",-0.00735241598045895
"Ka",0
"QCC",-0.734803228235735
"QLC",0
"QKC",0
"QFC",0
"QMC",0
"BW",-0.99737833494074
"VLC",0
"VKC",0
"VFC",0
"VMC",0
"VbloodC",0
"Htc",-3.16792373888542e-07
"PL",-0.00735654256875366
"PK",-2.35441799082976e-07
"PM",0.99999253836909
"PF",-5.79739404224749e-07
"PRest",-0.0002226247262541
"Free",0
