"","theta"
"Kst",0
"Kint",0
"KurineC",-0.247845187117548
"KmC",-0.00735241532191979
"Ka",0
"QCC",-0.734802859408081
"QLC",0
"QKC",0
"QFC",0
"QMC",0
"BW",-0.997378333688956
"VLC",0
"VKC",0
"VFC",0
"VMC",0
"VbloodC",0
"Htc",-3.17438520316906e-07
"PL",-0.00735654947079549
"PK",-2.35904378162379e-07
"PM",-6.98894001701396e-06
"PF",0.999998951572692
"PRest",-0.000223027184443871
"Free",0
